batch,index,url
2.0,0.0,https://farm1.staticflickr.com/684/21470007288_908b2f869d_m.jpg
2.0,1.0,https://farm1.staticflickr.com/635/21036827263_1121be9801_m.jpg
2.0,2.0,https://farm6.staticflickr.com/5637/21036773293_f3df998309_m.jpg
2.0,3.0,https://farm6.staticflickr.com/5749/21631566946_df9532c512_m.jpg
2.0,4.0,https://farm1.staticflickr.com/666/21631533506_a6c8f9ea41_m.jpg
2.0,5.0,https://farm1.staticflickr.com/704/21470750549_e540b0df53_m.jpg
2.0,6.0,https://farm6.staticflickr.com/5662/21470454009_fb1cafe2c4_m.jpg
2.0,7.0,https://farm1.staticflickr.com/728/21469708748_2ce181084e_m.jpg
2.0,8.0,https://farm1.staticflickr.com/743/21666640911_461034bfcb_m.jpg
2.0,9.0,https://farm1.staticflickr.com/692/21666638321_48f651d38e_m.jpg
2.0,10.0,https://farm1.staticflickr.com/670/21666587731_480093da0e_m.jpg
2.0,11.0,https://farm6.staticflickr.com/5753/21469578298_7294fbd185_m.jpg
2.0,12.0,https://farm1.staticflickr.com/628/21631257946_c4bbbcf148_m.jpg
2.0,13.0,https://farm1.staticflickr.com/726/21655843525_bb3a0409d2_m.jpg
2.0,14.0,https://farm6.staticflickr.com/5763/21036260953_8bdc056c06_m.jpg
2.0,15.0,https://farm6.staticflickr.com/5832/21469431658_6dd714d9e6_m.jpg
2.0,16.0,https://farm6.staticflickr.com/5819/21666402771_0e339d2584_m.jpg
2.0,17.0,https://farm1.staticflickr.com/767/21631188186_bf5d4487fb_m.jpg
2.0,18.0,https://farm6.staticflickr.com/5704/21631185106_098f3e2d08_m.jpg
2.0,19.0,https://farm1.staticflickr.com/676/21034570324_b04c610a4d_m.jpg
2.0,20.0,https://farm1.staticflickr.com/663/21666354791_08196b8cbd_m.jpg
2.0,21.0,https://farm1.staticflickr.com/669/21657181865_039e5428dc_m.jpg
2.0,22.0,https://farm1.staticflickr.com/745/21666239351_947d161594_m.jpg
2.0,23.0,https://farm6.staticflickr.com/5774/21619983522_d8c7959ba9_m.jpg
2.0,24.0,https://farm1.staticflickr.com/676/21645765172_99d49da92a_m.jpg
2.0,25.0,https://farm6.staticflickr.com/5719/21034416824_44e742af92_m.jpg
2.0,26.0,https://farm1.staticflickr.com/751/21469151670_c517c51abb_m.jpg
2.0,27.0,https://farm1.staticflickr.com/627/21469120610_d419dcd7e4_m.jpg
2.0,28.0,https://farm6.staticflickr.com/5785/21469187788_14f8cfe5b0_m.jpg
2.0,29.0,https://farm1.staticflickr.com/653/21630847496_a47f4d843f_m.jpg
2.0,30.0,https://farm6.staticflickr.com/5694/21469111118_8900838af6_m.jpg
2.0,31.0,https://farm1.staticflickr.com/661/21469008570_864fd1951c_m.jpg
2.0,32.0,https://farm1.staticflickr.com/731/21645320492_c2d907c57a_m.jpg
2.0,33.0,https://farm1.staticflickr.com/754/21469874379_2edf12a37d_m.jpg
2.0,34.0,https://farm1.staticflickr.com/693/21469819269_182050988b_m.jpg
2.0,35.0,https://farm6.staticflickr.com/5819/21630560326_ce6941571e_m.jpg
2.0,36.0,https://farm1.staticflickr.com/606/21645213512_626d76c4d8_m.jpg
2.0,37.0,https://farm6.staticflickr.com/5661/21630316206_9f3cc20075_m.jpg
2.0,38.0,https://farm1.staticflickr.com/661/21656509295_a9fa9c92f5_m.jpg
2.0,39.0,https://farm6.staticflickr.com/5825/21035501463_b07aa60b75_m.jpg
2.0,40.0,https://farm1.staticflickr.com/682/21630450246_dbf35b5dcc_m.jpg
2.0,41.0,https://farm1.staticflickr.com/769/21468581140_cc620f9e47_m.jpg
